name,name:he,highway,lanes
יצחק רבין,יצחק רבין,secondary,3
בן צבי,בן צבי,secondary,2
יצחק קריב,יצחק קריב,tertiary,
חטיבת ירושלים,חטיבת ירושלים,trunk,
ישעיהו,ישעיהו,tertiary,2
דוד ילין,דוד ילין,tertiary,
גולדה מאיר,גולדה מאיר,primary,3
הרב הרצוג,הרב הרצוג,tertiary,2
ארלוזורוב,ארלוזורוב,tertiary,
אוסישקין,אוסישקין,tertiary,
דובנוב,דובנוב,tertiary,2
אבן עזרא,אבן עזרא,tertiary,
סיירת דוכיפת,סיירת דוכיפת,secondary,2
יגאל ידין,יגאל ידין,trunk,2
"כ""ט בנובמבר","כ""ט בנובמבר",tertiary,1
הנשיא,הנשיא,tertiary,
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
יוסי בן יועזר,יוסי בן יועזר,tertiary,
אליעזר הגדול,אליעזר הגדול,tertiary,
קצנלבוגן,קצנלבוגן הרב רפאל,tertiary,
רבקה,רבקה,tertiary,2
התנופה,התנופה,tertiary,2
נעמי,נעמי,tertiary,2
שאולזון,שאולזון הרב,tertiary,
הרב דוד רוזנטל,הרב דוד רוזנטל,tertiary,1
חי טייב,"חי טייב, הרב יצחק",tertiary,
ז'בוטינסקי,ז'בוטינסקי,tertiary,
המפקד,המפקד,tertiary,
פינס,פינס,tertiary,
פתח תקוה,פתח תקוה,tertiary,
אוהל יהושע,אוהל יהושע,tertiary,
עלי הכהן,עלי הכהן,tertiary,
עזרת תורה,עזרת תורה,tertiary,
הרב גרוסברג,גרוסברג,tertiary,
בני בתירא,בני בתירא,tertiary,1
מעלה השלום,מעלה השלום,tertiary,
מעלות עיר דוד,מעלות עיר דוד,tertiary,
נעמי קיס,נעמי קיס,tertiary,
Lerr Bridge,,secondary,2
יעקב מאיר,יעקב מאיר,tertiary,
פייר קניג,פייר קניג,tertiary,2
"בית""ר",ביתר,tertiary,
קלוזנר,קלוזנר,tertiary,
לייב יפה,לייב יפה,tertiary,
קורא הדורות,קורא הדורות,tertiary,
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,2
שדרות ויצמן,שדרות ויצמן,primary,4
בית חנינא,בית חנינא,tertiary,
הרב דוד רוזנטל,הרב דוד רוזנטל,tertiary,1
קרל נטר,קרל נטר,tertiary,
מעבר המיתלה,המיתלה,tertiary,
פארן,פארן,tertiary,
קרית משה,קרית משה,tertiary,2
מבצע קדש,מבצע קדש,tertiary,
כיכר אורד וינגייט,כיכר אורד וינגייט,tertiary,
תחכמוני,תחכמוני,tertiary,
מלאכי,מלאכי,tertiary,
ארץ חפץ,ארץ חפץ,tertiary,
"מח""ל","מח""ל",tertiary,
עין כרם,עין כרם,primary,2
חברון,חברון,trunk,2
מאיר פינשטיין,מאיר פינשטיין,tertiary,
שכם,שכם,tertiary,
מנחם בגין,מנחם בגין,motorway,3
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,
בוקסבוים מרדכי,בוקסבוים,tertiary,
אגרות משה,אגרות משה,tertiary,
"האדמו""ר מלובביץ","האדמו""ר מלובביץ",tertiary,
שכם,שכם,tertiary,
יריחו,יריחו,secondary,2
אל מקדש,אל מקדש,secondary,2
ח'אלד בן אל-וליד,ח'אלד בן אל-וליד,tertiary,
העופל,דרך העופל,tertiary,2
מוסא סייק,מוסא סייק,tertiary,
יצחק הנדיב,יצחק הנדיב,secondary,2
"האר""י","האר""י",tertiary,
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
גולדה מאיר,גולדה מאיר,primary,5
גולדה מאיר,גולדה מאיר,primary,5
אורוגואי,אורוגואי,tertiary,
צ'ילה,צ'ילה,tertiary,2
החלמית,החלמית,tertiary,
פנמה,פנמה,tertiary,
הרפובליקה הדומיניקנית,הרפובליקה הדומיניקנית,tertiary,2
האביבית,האביבית,tertiary,1
הנורית,הנורית,tertiary,1
אריה דולצ'ין,אריה דולצ'ין,tertiary,
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,
ורבורג,ורבורג,tertiary,
עמוס,עמוס,tertiary,
יואל,יואל,tertiary,
יואל,יואל,tertiary,
זית רענן,זית רענן,tertiary,2
ברנדייס,ברנדייס,tertiary,1
זאב לב,זאב לב,tertiary,1
א.ש. הרטום,א.ש. הרטום,tertiary,
משאריף,משאריף,tertiary,
אל-כות'ר,אל-כות'ר,tertiary,
יגאל אלון,יגאל אלון,tertiary,2
Alshaikh Sa'd,שייח סעד אל,tertiary,
Ras Albostan,,tertiary,
شارع رئيسي,,tertiary,
מנחם בגין,מנחם בגין,motorway,2
מנחם בגין,מנחם בגין,motorway,3
סולם יעקב,סולם יעקב,tertiary,
יהודה בורלא,יהודה בורלא,tertiary,2
רופין,רופין,tertiary,2
יואל זוסמן,יואל זוסמן,tertiary,
אביזוהר,אביזוהר,tertiary,
רוזנטל הרב דוד,רוזנטל הרב דוד,tertiary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,3
יוסי בן יועזר,יוסי בן יועזר,tertiary,
המרגלית,המרגלית,tertiary,2
בית חנינא,בית חנינא,tertiary,
טאהה חוסיין,טאהה חוסיין,tertiary,
חליל ג'ורבאן,חליל ג'ורבאן,tertiary,
الإمام البخاري,אימאם אלבוח'ארי,tertiary,
דרך ביר נבאלה,דרך ביר נבאלה,tertiary,
חיים ברלב,חיים ברלב,trunk,3
לוחמי הגטאות,לוחמי הגטאות,tertiary,
קסילה,קסילה,tertiary,
א-נהדה,א-נהדה,tertiary,2
א-תווחיד,א-תווחיד,tertiary,2
מדרסה אל ג'דידה,אל מדרסה אל ג'דידה,tertiary,
מעמל אל-ת'לג',מעמל אל-ת'לג',tertiary,2
משה ברעם,משה ברעם,secondary,2
טאבאליה,טאבאליה,tertiary,2
אל חרדוב,אל חרדוב,tertiary,
ראבעה אל-עדוויה,ראבעה אל-עדוויה,tertiary,2
الشياح,א שיח',tertiary,
بيت فاجي,בית פגי,tertiary,
אל-מכפה,אל-מכפה,tertiary,2
בדאיה,בדאיה,tertiary,
דניאל ינובסקי,דניאל ינובסקי,tertiary,
וואדי הילווה,וואדי הילווה,tertiary,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,2
הרב יצחק ניסים,הרב יצחק ניסים,tertiary,
יצחק רבין,יצחק רבין,secondary,4
אל-מראבטין,אל-מראבטין,tertiary,2
יצחק רבין,יצחק רבין,secondary,2
שמעון בן חמו,שמעון בן חמו,tertiary,
אברהם מאפו,אברהם מאפו,tertiary,2
דהומיי,דהומיי,tertiary,
פינס,פינס,tertiary,2
"רש""י","רש""י",tertiary,
מאה שערים,מאה שערים,tertiary,
"רמב""ן","רמב""ן",tertiary,
"האר""י","האר""י",tertiary,2
כובשי קטמון,כובשי קטמון,tertiary,
"הל""ה","הל""ה",tertiary,
יעקב פיכמן,יעקב פיכמן,tertiary,2
אריה דולצ'ין,אריה דולצ'ין,tertiary,2
בוסתנאי,בוסתנאי,tertiary,
כובשי קטמון,כובשי קטמון,tertiary,
הקרן הקיימת לישראל,הקרן הקיימת לישראל,tertiary,2
אוסישקין,אוסישקין,tertiary,
רחל אמנו,רחל אמנו,tertiary,2
דוד ילין,דוד ילין,tertiary,
תחכמוני,תחכמוני,tertiary,
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,
אליהו מרידור,מרידור,tertiary,
יוספטל,יוספטל,tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
שועפט,שועפט,tertiary,2
