lane_id,name,length_m,N_with_lane,improvement,pct_improvement
13,הפלמ״ח,1082.0,236037311453.18997,156742.25497436523,6.6e-05
4,ז׳בוטינסקי,1042.0,236037223064.1947,68353.25970458984,2.9e-05
0,האר״י-מטודלה,881.0,236037174516.7813,19805.846313476562,8e-06
22,שמגר-אוהל יהושוע-שפע חיים,1875.0,236037162187.49442,7476.559417724609,3e-06
17,שטראוס-יחזקאל,1283.0,236037161097.0433,6386.108306884766,3e-06
11,הברון הירש-אליעזר הלוי,592.0,236037159680.0129,4969.077911376953,2e-06
6,הרצל‎,2892.0,236037159645.28775,4934.352752685547,2e-06
10,צבי יהודה,584.0,236037158847.5456,4136.610595703125,2e-06
2,קרן היסוד-קינג ג׳ורג׳,1647.0,236037158623.1615,3912.2265014648438,2e-06
23,בצלאל-רבין,1938.0,236037157815.6951,3104.7601013183594,1e-06
18,בגין (גבעת רם),1865.0,236037157671.32394,2960.388946533203,1e-06
12,אלעזר המודעי-כובשי קטמון,1011.0,236037155956.33978,1245.40478515625,1e-06
1,אגרון-רמב״ן‎,801.0,236037155320.58246,609.6474609375,0.0
21,פייר קניג,1422.0,236037155206.47412,495.53912353515625,0.0
7,בן זכאי-יהודה הנשיא,1787.0,236037155033.53238,322.5973815917969,0.0
14,בזק-בייט,2340.0,236037155012.1416,301.20660400390625,0.0
20,קוליץ,842.0,236037154843.00732,132.07232666015625,0.0
19,גולומב,1383.0,236037154733.99243,23.05743408203125,0.0
8,רחל אמנו-חזקיהו המלך-דוסטאי,1272.0,236037154726.16885,15.233856201171875,0.0
3,דרך חברון,5151.0,236037154710.935,0.0,0.0
5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,587.0,236037154710.935,0.0,0.0
9,בר לב,3950.0,236037154710.935,0.0,0.0
15,ירמיהו-בר אילן-לוי אשכול,3601.0,236037154710.935,0.0,0.0
16,גולדה-שמואל הנביא,2919.0,236037154710.935,0.0,0.0
