K,theta,lane,improvement_pct
10,-0.5,האר״י-מטודלה,0.12226708563525554
10,-0.5,אגרון-רמב״ן‎,0.5049774458953541
10,-0.5,קרן היסוד-קינג ג׳ורג׳,0.0
10,-0.5,דרך חברון,0.0
10,-0.5,ז׳בוטינסקי,0.15014294865554637
10,-0.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.12163671036573498
10,-0.5,הרצל‎,1.3758817819257196
10,-0.5,בן זכאי-יהודה הנשיא,0.6443467305443429
10,-0.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.21311532814125683
10,-0.5,בר לב,3.1624358991581074
10,-0.5,צבי יהודה,0.34554948234124194
10,-0.5,הברון הירש-אליעזר הלוי,0.09284585669648289
10,-0.5,אלעזר המודעי-כובשי קטמון,0.4186631505929687
10,-0.5,הפלמ״ח,0.19628482631701313
10,-0.5,בזק-בייט,0.636077950961378
10,-0.5,ירמיהו-בר אילן-לוי אשכול,2.6838179497072847
10,-0.5,גולדה-שמואל הנביא,0.7760916014776059
10,-0.5,שטראוס-יחזקאל,0.0
10,-0.5,בגין (גבעת רם),0.5502788616761155
10,-0.5,גולומב,0.14119581950292887
10,-0.5,קוליץ,0.03395381161372942
10,-0.5,פייר קניג,0.5088153222685717
10,-0.5,שמגר-אוהל יהושוע-שפע חיים,0.8596137978319531
10,-0.5,בצלאל-רבין,0.0
10,-1.0,האר״י-מטודלה,0.21829734210747084
10,-1.0,אגרון-רמב״ן‎,0.9327709931795827
10,-1.0,קרן היסוד-קינג ג׳ורג׳,0.0
10,-1.0,דרך חברון,0.0
10,-1.0,ז׳בוטינסקי,0.2799058680580506
10,-1.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.2192677828005998
10,-1.0,הרצל‎,2.4373412379522112
10,-1.0,בן זכאי-יהודה הנשיא,1.0998438856137849
10,-1.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.35908066704466
10,-1.0,בר לב,4.9414843286403585
10,-1.0,צבי יהודה,0.6832674779412138
10,-1.0,הברון הירש-אליעזר הלוי,0.19259967747189738
10,-1.0,אלעזר המודעי-כובשי קטמון,0.7384225380475681
10,-1.0,הפלמ״ח,0.3461622673719585
10,-1.0,בזק-בייט,1.0600687507647484
10,-1.0,ירמיהו-בר אילן-לוי אשכול,4.359155668318749
10,-1.0,גולדה-שמואל הנביא,1.2929812033497765
10,-1.0,שטראוס-יחזקאל,0.0
10,-1.0,בגין (גבעת רם),0.938766819034096
10,-1.0,גולומב,0.2303103085219314
10,-1.0,קוליץ,0.05680539910189218
10,-1.0,פייר קניג,0.8311740581417674
10,-1.0,שמגר-אוהל יהושוע-שפע חיים,1.5817222072201544
10,-1.0,בצלאל-רבין,0.0
10,-1.5,האר״י-מטודלה,0.19391758945884166
10,-1.5,אגרון-רמב״ן‎,0.8984131082996446
10,-1.5,קרן היסוד-קינג ג׳ורג׳,0.0
10,-1.5,דרך חברון,0.0
10,-1.5,ז׳בוטינסקי,0.2690994411259626
10,-1.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.19408304300124568
10,-1.5,הרצל‎,2.125057349159623
10,-1.5,בן זכאי-יהודה הנשיא,0.9347319669273731
10,-1.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.30794073090758284
10,-1.5,בר לב,3.7588975647089256
10,-1.5,צבי יהודה,0.6934696395794858
10,-1.5,הברון הירש-אליעזר הלוי,0.21270136853308924
10,-1.5,אלעזר המודעי-כובשי קטמון,0.6509587225368026
10,-1.5,הפלמ״ח,0.30748950375595296
10,-1.5,בזק-בייט,0.8556866024762467
10,-1.5,ירמיהו-בר אילן-לוי אשכול,3.4663501958332654
10,-1.5,גולדה-שמואל הנביא,1.0423822120971211
10,-1.5,שטראוס-יחזקאל,0.0
10,-1.5,בגין (גבעת רם),0.7868684006069452
10,-1.5,גולומב,0.18436647975261333
10,-1.5,קוליץ,0.04714088726649593
10,-1.5,פייר קניג,0.6882030748074004
10,-1.5,שמגר-אוהל יהושוע-שפע חיים,1.4779092898491757
10,-1.5,בצלאל-רבין,0.0
10,-2.0,האר״י-מטודלה,0.04012409811693294
10,-2.0,אגרון-רמב״ן‎,0.20742771041099878
10,-2.0,קרן היסוד-קינג ג׳ורג׳,0.0
10,-2.0,דרך חברון,0.0
10,-2.0,ז׳בוטינסקי,0.061839077893944876
10,-2.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.038390487684761956
10,-2.0,הרצל‎,0.4143823696152051
10,-2.0,בן זכאי-יהודה הנשיא,0.18169014071523684
10,-2.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.0625337446157199
10,-2.0,בר לב,0.6324479619537151
10,-2.0,צבי יהודה,0.16475131179531294
10,-2.0,הברון הירש-אליעזר הלוי,0.05782719933263063
10,-2.0,אלעזר המודעי-כובשי קטמון,0.13178776597314243
10,-2.0,הפלמ״ח,0.06303880170243119
10,-2.0,בזק-בייט,0.15219348683614584
10,-2.0,ירמיהו-בר אילן-לוי אשכול,0.6140580012266789
10,-2.0,גולדה-שמואל הנביא,0.1855821291529592
10,-2.0,שטראוס-יחזקאל,0.0
10,-2.0,בגין (גבעת רם),0.14752177089207408
10,-2.0,גולומב,0.033034339564164496
10,-2.0,קוליץ,0.008884585693830707
10,-2.0,פייר קניג,0.13343536754377977
10,-2.0,שמגר-אוהל יהושוע-שפע חיים,0.3180401668921348
10,-2.0,בצלאל-רבין,0.0
10,-3.0,האר״י-מטודלה,0.00034757401531698034
10,-3.0,אגרון-רמב״ן‎,0.001895280961697824
10,-3.0,קרן היסוד-קינג ג׳ורג׳,0.0
10,-3.0,דרך חברון,0.0
10,-3.0,ז׳בוטינסקי,0.0006036834775908425
10,-3.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.00021233164154157102
10,-3.0,הרצל‎,0.002224891693759097
10,-3.0,בן זכאי-יהודה הנשיא,0.0010724041970766641
10,-3.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.0004667781307725598
10,-3.0,בר לב,0.002441474814033305
10,-3.0,צבי יהודה,0.001480804106492585
10,-3.0,הברון הירש-אליעזר הלוי,0.0007893506452805075
10,-3.0,אלעזר המודעי-כובשי קטמון,0.0008484197473236393
10,-3.0,הפלמ״ח,0.0004196851574241313
10,-3.0,בזק-בייט,0.0006569424209713659
10,-3.0,ירמיהו-בר אילן-לוי אשכול,0.0027007402770227
10,-3.0,גולדה-שמואל הנביא,0.000813724715407495
10,-3.0,שטראוס-יחזקאל,0.0
10,-3.0,בגין (גבעת רם),0.000736605489699822
10,-3.0,גולומב,0.00015106768110884964
10,-3.0,קוליץ,4.737887510760735e-05
10,-3.0,פייר קניג,0.0008278604613356156
10,-3.0,שמגר-אוהל יהושוע-שפע חיים,0.0021889407093564324
10,-3.0,בצלאל-רבין,0.0
50,-0.5,האר״י-מטודלה,0.15340282630861415
50,-0.5,אגרון-רמב״ן‎,0.5999814744406157
50,-0.5,קרן היסוד-קינג ג׳ורג׳,0.0
50,-0.5,דרך חברון,0.0
50,-0.5,ז׳בוטינסקי,0.2114300016418892
50,-0.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.1461880074530257
50,-0.5,הרצל‎,1.6858275399059262
50,-0.5,בן זכאי-יהודה הנשיא,0.7912684487535162
50,-0.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.278796438367852
50,-0.5,בר לב,3.939051952784292
50,-0.5,צבי יהודה,0.41085803064353116
50,-0.5,הברון הירש-אליעזר הלוי,0.1199105396844343
50,-0.5,אלעזר המודעי-כובשי קטמון,0.5091605950059614
50,-0.5,הפלמ״ח,0.259667675429153
50,-0.5,בזק-בייט,0.8074546395096049
50,-0.5,ירמיהו-בר אילן-לוי אשכול,3.3882197850465596
50,-0.5,גולדה-שמואל הנביא,1.0167986245634704
50,-0.5,שטראוס-יחזקאל,0.0
50,-0.5,בגין (גבעת רם),0.6981565619872937
50,-0.5,גולומב,0.16771899032092472
50,-0.5,קוליץ,0.03913435032142892
50,-0.5,פייר קניג,0.6015075829659063
50,-0.5,שמגר-אוהל יהושוע-שפע חיים,1.1248192506909436
50,-0.5,בצלאל-רבין,0.0
50,-1.0,האר״י-מטודלה,0.2730158567320478
50,-1.0,אגרון-רמב״ן‎,1.1065694243609407
50,-1.0,קרן היסוד-קינג ג׳ורג׳,0.0
50,-1.0,דרך חברון,0.0
50,-1.0,ז׳בוטינסקי,0.38565923389948414
50,-1.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.25997227064981354
50,-1.0,הרצל‎,3.0177314337848324
50,-1.0,בן זכאי-יהודה הנשיא,1.3489736821368856
50,-1.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.4707680531792094
50,-1.0,בר לב,6.248813669090565
50,-1.0,צבי יהודה,0.8059290596794493
