rank,name,length_m,N_with_lane,improvement,pct_improvement
1,ירמיהו-בר אילן-לוי אשכול,3600.8639088566897,1048028886.2901025,151030083.77101302,16.837267045047017
2,בר לב,3949.6259335428567,1043507375.1322051,146508572.61311567,16.333196008920844
3,שטראוס-יחזקאל,1283.1965908155998,970148869.6600982,73150067.14100873,8.15497935287957
4,שמגר-אוהל יהושוע-שפע חיים,1875.416751407373,965163394.4559413,68164591.93685186,7.599184273760636
5,גולדה-שמואל הנביא,2918.59516564946,963164229.7887995,66165427.269710064,7.37631166105174
6,דרך חברון,5150.860743594557,953213624.5775306,56214822.05844116,6.266989643750927
7,בצלאל-רבין,1938.2992594046568,948759868.5184674,51761065.999377966,5.770472140432586
8,הרצל‎,2891.8132015883625,946259461.9133463,49260659.39425683,5.4917196384115
9,קרן היסוד-קינג ג׳ורג׳,1647.489723366693,920846984.9307324,23848182.41164291,2.6586637958343746
10,בזק-בייט,2339.5748365739314,915513230.867636,18514428.348546505,2.064041590306637
11,בן זכאי-יהודה הנשיא,1786.7479817953206,913466240.0712266,16467437.552137136,1.8358371834935292
12,פייר קניג,1421.533047156255,911092707.7610189,14093905.241929412,1.5712289918725362
13,אגרון-רמב״ן‎,801.1863007145956,906805249.4464104,9806446.927320957,1.0932508382152786
14,צבי יהודה,584.4104939254353,905948404.8711224,8949602.3520329,0.9977273466697231
15,אלעזר המודעי-כובשי קטמון,1010.8941487273163,904551840.1977937,7553037.678704262,0.8420343101342682
16,בגין (גבעת רם),1864.8635204922498,904274544.6188135,7275742.099724054,0.8111206034268051
17,רחל אמנו-חזקיהו המלך-דוסטאי,1271.6857641302877,903491547.8241861,6492745.305096626,0.7238298743390408
18,ז׳בוטינסקי,1042.2428004356632,903386888.0014362,6388085.482346773,0.7121620970292014
19,הפלמ״ח,1082.0935046061486,902959811.7264378,5961009.207348347,0.6645504086078741
20,האר״י-מטודלה,881.0329194373309,901282819.2710279,4284016.751938462,0.4775944783769421
21,גולומב,1382.6222251896952,900632546.3136398,3633743.7945502996,0.4051001834501299
22,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,586.5818668460824,899959808.9340018,2961006.414912343,0.33010149028034275
23,הברון הירש-אליעזר הלוי,591.821953045211,899736641.0290295,2737838.509940028,0.30522209196391464
24,קוליץ,842.0234376209929,897620608.0130917,621805.494002223,0.06932066043521726
